audio_file,text,speaker
wavs/WNk8QaIbF0E_0000.wav,"chương ba kiều kẹt bàn mới, không dọn ai",SPEAKER_00
wavs/WNk8QaIbF0E_0001.wav,"thật động khi chúng ta đến một quốc gia mới, với văn hóa mới và gặp gợi nhiều người lạ,",SPEAKER_00
wavs/WNk8QaIbF0E_0002.wav,tự nhiên sẽ có sự ngại ngùng trong việc tiếp cận với họ.,SPEAKER_00
wavs/WNk8QaIbF0E_0003.wav,"bên cạnh đó, bản sắc văn hóa của quê huế, với nệt trăm mặt, tĩnh lằn cũng ảnh hưởng đến tính cách của người huế như mình.",SPEAKER_00
wavs/WNk8QaIbF0E_0004.wav,"mình không giảm thoạt khỏi cái vỏ bọc hay giảm đi ngược lại về đảm đông để thể hiện cả tính, suy nghĩ riêng.",SPEAKER_00
wavs/WNk8QaIbF0E_0005.wav,"khi ở huế, mình thường ụt dột, rụt ra nếu từ mình bắt đầu một cuộc trò chuyện hoặc chia sẻ ý kiến cải",SPEAKER_00
wavs/WNk8QaIbF0E_0006.wav,"nhân trong một cuộc thảo luận nhóm, trừ khi bị vao tinh thể phải nói.",SPEAKER_00
wavs/WNk8QaIbF0E_0007.wav,"đôi khi mình tự hỏi tại sao lại có thời quan trong ngắm, ngồi yên một góc chỉ lặng nghe và quan sát người khác đang làm gì mà",SPEAKER_00
wavs/WNk8QaIbF0E_0008.wav,ý chia sẻ ý kiến hoặc kể chuyện cùng ai.,SPEAKER_00
wavs/WNk8QaIbF0E_0009.wav,"suy nghĩ mãi, mình nhận ra mình vẫn chưa biết cách phấn định rạch rồi giữa bản sắc văn hóa nhu ni,",SPEAKER_00
wavs/WNk8QaIbF0E_0010.wav,khẹp kín của người huế trong tình cách cải nhân với việc tạo ra giá trị từ tình cách đó trong môi trường làm việc chuyên nghiệp,SPEAKER_00
wavs/WNk8QaIbF0E_0011.wav,và hòa nhập với văn hóa địa phương.,SPEAKER_00
wavs/WNk8QaIbF0E_0012.wav,"như một người bạn đã từng khuyên, nếu mình không mở lòng, chia sẻ ý kiến và suy nghĩ của mình với người khác,",SPEAKER_00
wavs/WNk8QaIbF0E_0013.wav,"mình sẽ tiếp tục sụng trong cái tối bao la, không biết rằng suy nghĩ của mình có sai sọc ở đâu,",SPEAKER_00
wavs/WNk8QaIbF0E_0014.wav,"quá trình phát triển bản thân sẽ bị chầm hơn và dần dần quyết ný rằng trong cuộc sống này,",SPEAKER_00
wavs/WNk8QaIbF0E_0015.wav,mọi sự việc đều có liên kệ với nhiều người và nhiều yếu tố.,SPEAKER_00
wavs/WNk8QaIbF0E_0016.wav,"khi mình trở nên cởi mở hơn, mình tự nhiên hiểu rõ hơn về nhiều điều.",SPEAKER_00
wavs/WNk8QaIbF0E_0017.wav,"đúng, nhè nhàng và dừ dàng là những đặc điểm cần thiệt cho con gái huế.",SPEAKER_00
wavs/WNk8QaIbF0E_0018.wav,"ai nói gì cũng im lặng, phản động sai gì cũng gửi cho qua.",SPEAKER_00
wavs/WNk8QaIbF0E_0019.wav,"tuy nhiên, nếu quan điểm của mình ảnh hưởng đến giá trị bản thân và tình hình chung,",SPEAKER_00
wavs/WNk8QaIbF0E_0020.wav,mình không mở miệng chia sẻ ý kiến. ai sẽ biết và lặng nghe điều mình muốn nói.,SPEAKER_00
wavs/WNk8QaIbF0E_0021.wav,"vì vậy, mình đã phân biệt rõ ràng giữa bản tính cải nhân với công việc chuyên môn",SPEAKER_00
wavs/WNk8QaIbF0E_0022.wav,"và khi cần thiết, mình sẽ mở miệng nói thẳng.",SPEAKER_00
wavs/WNk8QaIbF0E_0023.wav,"dù thế, ý muốn thoát khỏi vỏ bọc đó và làm điều khác với những gì mình đã quen làm trong hơn hai mươi lăm năm để",SPEAKER_00
wavs/WNk8QaIbF0E_0024.wav,"thay đổi và tự thúc đẩy bản thân, quả là một hành trình khó khăn.",SPEAKER_00
wavs/WNk8QaIbF0E_0025.wav,"mình vẫn nhớ năm đầu ở canada, trong một ngày tuyệt rơi trạng xóa,",SPEAKER_00
wavs/WNk8QaIbF0E_0026.wav,"trên đường đi làm và trở về nhà, mình đều cùng gặp một anh người giá màu tại trạm xe bịt,",SPEAKER_00
wavs/WNk8QaIbF0E_0027.wav,ngập người là thêm phần khi đó đang trong tâm trạng rội bơi vì tuyệt.,SPEAKER_00
wavs/WNk8QaIbF0E_0028.wav,"và xe bịt chờ mãi không đến, điện thoại lằn ngắt hệt pin không sử dụng được.",SPEAKER_00
wavs/WNk8QaIbF0E_0029.wav,đó lại còn là ngày đầu tiên mình đi làm thêm nên mình vẫn còn xa là với cả con đường.,SPEAKER_00
wavs/WNk8QaIbF0E_0030.wav,mình tự hỏi liệu có cách nào khả nghĩa đi về nhà không?,SPEAKER_00
wavs/WNk8QaIbF0E_0031.wav,thế là mình nhìn quánh đứng ngồi không nghiêng.,SPEAKER_00
wavs/WNk8QaIbF0E_0032.wav,"đúng lúc ấy, ánh da màu đỏ như hiểu được tâm trạng của mình và hỏi ngay.",SPEAKER_00
